product_id,brand,model_name,category,gender_target,size_system_primary,size_range_primary,sizes_available_uk,sizes_available_us,sizes_available_eu,foot_length_min_cm,foot_length_max_cm,width_options,recommended_foot_width_cm_min,recommended_foot_width_cm_max,fit_profile,cushioning_level,arch_support,material_upper,outsole_type,weight_g,colors,price_usd,rating_avg,review_count,stock_status,image_url,description_short,sources_used
asics-everyday-4-casual-11,ASICS,Everyday 4,Casual,Male,UK,UK 6-12,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.4,30,Narrow|Regular|Wide,9.16,11.36,regular,high,medium,synthetic leather,gum rubber,302,pink|yellow|brown|orange,82.08,4.1,40,in_stock,,"ASICS casual footwear featuring synthetic leather, gum rubber, high cushioning, medium arch support, and a regular profile.",asics.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
adidas-dress-6-formal-12,Adidas,Dress 6,Formal,Male,UK,UK 6-12,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.4,30,Narrow|Regular,9.16,10.46,snug,low,high,patent leather,leather,447,beige|yellow|black,129.23,4.7,20,in_stock,,Formal shoe with patent leather upper and leather outsole; low cushioning and high arch support for a snug feel.,adidas.co.uk; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
vans-classic-6-casual-13,Vans,Classic 6,Casual,Male,UK,UK 6-11.5,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50",24.3,29.7,Wide,10.29,11.29,snug,medium,medium,canvas,rubber,365,brown|red|grey,73.36,3.9,117,low_stock,,"Built for casual days: canvas upper, durable rubber outsole, medium cushion, medium support, and a snug fit.",vans.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
reebok-canyon-max-trail-14,Reebok,Canyon Max,Trail,Unisex,UK,UK 3.5-12,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","38,39,40,40.5,41,42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",22.1,30,Wide,9.94,10.94,snug,high,medium,ripstop mesh,Vibram-style rubber,367,red|yellow|beige,164.52,3.8,62,in_stock,,"Reebok trail footwear featuring ripstop mesh, Vibram-style rubber, high cushioning, medium arch support, and a snug profile.",reebok.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
salomon-power-9-athletic-15,Salomon,Power 9,Athletic,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.7,27.1,Narrow|Regular|Wide,8.13,10.33,regular,low,high,synthetic mesh,TPU,322,brown|pink|green|yellow,122.42,4.5,118,in_stock,,Athletic shoe with synthetic mesh upper and TPU outsole; low cushioning and high arch support for a regular feel.,salomon.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
converse-power-4-athletic-16,Converse,Power 4,Athletic,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.9,26.9,Wide,9.33,10.33,roomy,low,medium,synthetic leather,rubber,315,blue|purple,93.77,3.9,24,out_of_stock,,Athletic shoe with synthetic leather upper and rubber outsole; low cushioning and medium arch support for a roomy feel.,converse.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
reebok-canyon-4-trail-17,Reebok,Canyon 4,Trail,Male,UK,UK 6.5-12,"6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.7,30.1,Narrow|Regular,9.24,10.54,regular,high,low,ripstop mesh,sticky rubber,357,navy|tan|blue,146.63,4.4,97,low_stock,,Trail shoe with ripstop mesh upper and sticky rubber outsole; high cushioning and low arch support for a regular feel.,reebok.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
clarks-traverse-7-trail-18,Clarks,Traverse 7,Trail,Male,UK,UK 6-11.5,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50",24.4,29.6,Regular|Wide,9.79,11.29,roomy,medium,low,synthetic mesh,lugged rubber,297,black|white|beige,143.57,4.4,77,in_stock,,"Clarks trail footwear featuring synthetic mesh, lugged rubber, medium cushioning, low arch support, and a roomy profile.",clarks.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
new-balance-terra-plus-trail-19,New Balance,Terra Plus,Trail,Unisex,UK,UK 3-11.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5","4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46,46.5,47,48,49,49.5,50",21.9,29.5,Regular,8.61,10.81,roomy,high,high,gore-tex membrane,Vibram-style rubber,327,blue|green|white,145.26,4.5,58,in_stock,,"New Balance trail footwear featuring gore-tex membrane, Vibram-style rubber, high cushioning, high arch support, and a roomy profile.",newbalance.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
timberland-traverse-8-trail-20,Timberland,Traverse 8,Trail,Male,UK,UK 6.5-12,"6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.8,30,Regular,9.24,11.44,regular,low,medium,synthetic mesh,Vibram-style rubber,375,red|yellow,187.01,4.1,16,in_stock,,"Built for trail days: synthetic mesh upper, durable Vibram-style rubber outsole, low cushion, medium support, and a regular fit.",timberland.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
hoka-retro-elite-casual-21,HOKA,Retro Elite,Casual,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.8,27,Regular,8.13,10.33,snug,high,medium,leather,rubber,279,grey|black|purple,80.18,4.1,29,out_of_stock,,"Built for casual days: leather upper, durable rubber outsole, high cushion, medium support, and a snug fit.",hoka.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
saucony-lift-elite-premium-athletic-22,Saucony,Lift Elite Premium,Athletic,Male,UK,UK 6-12,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.3,29.9,Regular|Wide,9.83,11.33,roomy,high,high,knit,rubber,312,purple|pink|brown,102.55,3.9,87,in_stock,,"Built for athletic days: knit upper, durable rubber outsole, high cushion, high support, and a roomy fit.",saucony.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
vans-traverse-6-trail-23,Vans,Traverse 6,Trail,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.6,27,Regular,8.09,10.29,regular,medium,medium,gore-tex membrane,sticky rubber,309,red|tan|white,155.61,4.9,33,in_stock,,"Vans trail footwear featuring gore-tex membrane, sticky rubber, medium cushioning, medium arch support, and a regular profile.",vans.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
asics-urban-5-casual-24,ASICS,Urban 5,Casual,Male,UK,UK 6-12,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.3,29.9,Regular,9.13,11.33,regular,medium,low,synthetic leather,gum rubber,312,yellow|purple,134.58,3.8,64,in_stock,,"Built for casual days: synthetic leather upper, durable gum rubber outsole, medium cushion, low support, and a regular fit.",asics.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
skechers-trailblazer-iii-trail-25,Skechers,Trailblazer III,Trail,Male,UK,UK 6-12,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.5,29.9,Regular|Wide,9.86,11.36,regular,low,medium,ripstop mesh,Vibram-style rubber,246,green|beige,121.56,4.1,22,in_stock,,"Built for trail days: ripstop mesh upper, durable Vibram-style rubber outsole, low cushion, medium support, and a regular fit.",skechers.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
reebok-zoom-4-running-26,Reebok,Zoom 4,Running,Male,UK,UK 6.5-12,"6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.8,29.9,Narrow|Regular,9.22,10.52,regular,high,medium,engineered mesh,carbon rubber,304,pink|brown,147.8,4.4,104,out_of_stock,,"Reebok running footwear featuring engineered mesh, carbon rubber, high cushioning, medium arch support, and a regular profile.",reebok.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
asics-aero-5-runner-running-27,ASICS,Aero 5 Runner,Running,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.6,27,Narrow|Regular|Wide,8.09,10.29,regular,low,high,knit mesh,blown rubber,230,purple|blue|grey,109.19,4.3,40,low_stock,,"Built for running days: knit mesh upper, durable blown rubber outsole, low cushion, high support, and a regular fit.",asics.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
brooks-terra-9-trail-28,Brooks,Terra 9,Trail,Unisex,UK,UK 3-12,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",21.7,30.1,Narrow|Regular|Wide,8.68,10.88,regular,medium,medium,ripstop mesh,Vibram-style rubber,372,blue|brown,168.21,4.1,100,in_stock,,Trail shoe with ripstop mesh upper and Vibram-style rubber outsole; medium cushioning and medium arch support for a regular feel.,brooksrunning.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
saucony-terra-5-trail-29,Saucony,Terra 5,Trail,Male,UK,UK 6.5-12,"6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.7,30,Regular|Wide,9.92,11.42,roomy,medium,high,gore-tex membrane,sticky rubber,306,green|pink|beige|red,161.03,4.7,99,low_stock,,Trail shoe with gore-tex membrane upper and sticky rubber outsole; medium cushioning and high arch support for a roomy feel.,saucony.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
hoka-pro-8-athletic-30,HOKA,Pro 8,Athletic,Female,UK,UK 3-8,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10","37.5,38,39,40,40.5,41,42,43,43.5,44,45",21.9,26.6,Narrow|Regular|Wide,8.07,10.27,snug,high,medium,synthetic leather,TPU,282,brown|black|yellow,167.23,4,54,in_stock,,Athletic shoe with synthetic leather upper and TPU outsole; high cushioning and medium arch support for a snug feel.,hoka.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
merrell-canyon-ii-trail-31,Merrell,Canyon II,Trail,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.8,26.9,Narrow|Regular|Wide,8.11,10.31,regular,medium,medium,synthetic mesh,sticky rubber,342,blue|pink|tan,128.3,4.6,49,in_stock,,"Merrell trail footwear featuring synthetic mesh, sticky rubber, medium cushioning, medium arch support, and a regular profile.",merrell.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
clarks-dress-iii-formal-32,Clarks,Dress III,Formal,Male,UK,UK 6-12,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.4,30,Regular|Wide,9.86,11.36,roomy,medium,medium,full-grain leather,leather,451,navy|blue|grey,132.78,4.2,23,in_stock,,"Built for formal days: full-grain leather upper, durable leather outsole, medium cushion, medium support, and a roomy fit.",clarks.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
adidas-endorphin-max-running-33,Adidas,Endorphin Max,Running,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.8,26.8,Narrow|Regular|Wide,8.09,10.29,regular,medium,high,knit mesh,carbon rubber,180,yellow|white,163.61,4.2,54,in_stock,,Running shoe with knit mesh upper and carbon rubber outsole; medium cushioning and high arch support for a regular feel.,adidas.co.uk; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
puma-trainer-x-athletic-34,PUMA,Trainer X,Athletic,Unisex,UK,UK 3-12,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",21.8,30.1,Regular,8.7,10.9,roomy,medium,medium,knit,non-marking rubber,280,yellow|beige|green,109.68,3.3,121,in_stock,,"PUMA athletic footwear featuring knit, non-marking rubber, medium cushioning, medium arch support, and a roomy profile.",puma.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
new-balance-classic-5-casual-35,New Balance,Classic 5,Casual,Female,UK,UK 3.5-8.5,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","38,39,40,40.5,41,42,43,43.5,44,45,46",22.3,26.9,Narrow|Regular|Wide,8.2,10.4,snug,medium,medium,leather,rubber,320,red|pink|yellow,108.91,4.7,106,in_stock,,"New Balance casual footwear featuring leather, rubber, medium cushioning, medium arch support, and a snug profile.",newbalance.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
clarks-outback-9-trail-36,Clarks,Outback 9,Trail,Male,UK,UK 6-12,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.2,30.1,Narrow|Regular|Wide,9.15,11.35,snug,medium,medium,gore-tex membrane,sticky rubber,349,white|tan|pink|red,134.68,4.4,26,out_of_stock,,"Built for trail days: gore-tex membrane upper, durable sticky rubber outsole, medium cushion, medium support, and a snug fit.",clarks.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
hoka-glide-5-lite-running-37,HOKA,Glide 5 Lite,Running,Female,UK,UK 3-8,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10","37.5,38,39,40,40.5,41,42,43,43.5,44,45",21.7,26.4,Narrow|Regular|Wide,8,10.2,regular,high,medium,engineered mesh,blown rubber,218,beige|black|grey,151.4,3.9,196,in_stock,,"Built for running days: engineered mesh upper, durable blown rubber outsole, high cushion, medium support, and a regular fit.",hoka.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
merrell-pace-prime-running-38,Merrell,Pace Prime,Running,Female,UK,UK 3-8,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10","37.5,38,39,40,40.5,41,42,43,43.5,44,45",21.8,26.4,Narrow|Regular|Wide,8.02,10.22,regular,medium,medium,knit mesh,blown rubber,290,tan|white,113.74,4,58,in_stock,,"Built for running days: knit mesh upper, durable blown rubber outsole, medium cushion, medium support, and a regular fit.",merrell.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
nike-drive-9-boost-athletic-39,Nike,Drive 9 Boost,Athletic,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.7,27,Regular,8.11,10.31,regular,low,medium,synthetic mesh,non-marking rubber,274,pink|tan|white|black,138.7,3.9,49,in_stock,,Athletic shoe with synthetic mesh upper and non-marking rubber outsole; low cushioning and medium arch support for a regular feel.,nike.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
skechers-stride-prime-running-40,Skechers,Stride Prime,Running,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.7,27,Regular,8.11,10.31,regular,high,high,engineered mesh,carbon rubber,294,green|navy|beige,119.34,4.6,36,low_stock,,"Built for running days: engineered mesh upper, durable carbon rubber outsole, high cushion, high support, and a regular fit.",skechers.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
vans-cross-elite-athletic-41,Vans,Cross Elite,Athletic,Male,UK,UK 6-11.5,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50",24.2,29.7,Regular,9.07,11.27,regular,high,medium,knit,non-marking rubber,294,brown|purple|yellow,104.79,3.6,150,in_stock,,Athletic shoe with knit upper and non-marking rubber outsole; high cushioning and medium arch support for a regular feel.,vans.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
skechers-edge-ii-athletic-42,Skechers,Edge II,Athletic,Male,UK,UK 6-12,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.4,30,Wide,10.36,11.36,regular,high,high,synthetic leather,rubber,323,black|grey|brown|beige,109.9,3.5,51,low_stock,,"Skechers athletic footwear featuring synthetic leather, rubber, high cushioning, high arch support, and a regular profile.",skechers.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
hoka-nimbus-max-running-43,HOKA,Nimbus Max,Running,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.8,27.1,Narrow|Regular|Wide,8.15,10.35,regular,medium,low,knit mesh,blown rubber,276,blue|orange|pink|tan,136.37,4.9,43,in_stock,,"Built for running days: knit mesh upper, durable blown rubber outsole, medium cushion, low support, and a regular fit.",hoka.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
skechers-pace-x-running-44,Skechers,Pace X,Running,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.7,27,Wide,9.31,10.31,snug,high,medium,knit mesh,carbon rubber,230,navy|brown|green,99.43,4.9,55,in_stock,,"Built for running days: knit mesh upper, durable carbon rubber outsole, high cushion, medium support, and a snug fit.",skechers.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
