foot_length_cm,foot_width_cm,category,gender,target_UK_size,target_EU_size,target_US_size,allowance_cm,effective_length_cm
27.5,10.4,Running,Male,11.5,46,12.5,1.5,29
25,9.5,Running,Male,8.5,42,9.5,1.5,26.5
25.8,10.4,Running,Male,9,43,10,1.5,27.3
29.3,10.5,Running,Male,13.5,48,14.5,1.5,30.8
26.9,10.2,Running,Male,10.5,45,11.5,1.5,28.4
27.2,10.5,Running,Male,11,45,12,1.5,28.7
25.6,10.4,Running,Male,9,43,10,1.5,27.1
26,9.7,Running,Male,9.5,43,10.5,1.5,27.5
23.7,9.1,Running,Male,7,40,8,1.5,25.2
29.5,10.7,Running,Male,13.5,48,14.5,1.5,31
25.5,9.4,Running,Male,9,42,10,1.5,27
28.7,11,Running,Male,12.5,47,13.5,1.5,30.2
27.9,10.4,Running,Male,11.5,46,12.5,1.5,29.4
25.5,8.7,Running,Male,9,42,10,1.5,27
26.8,10.4,Running,Male,10.5,44,11.5,1.5,28.3
26.5,10.4,Running,Male,10,44,11,1.5,28
28.3,10.7,Running,Male,12,47,13,1.5,29.8
28.2,9.4,Running,Male,12,47,13,1.5,29.7
25.3,9.6,Running,Male,8.5,42,9.5,1.5,26.8
26.7,9.8,Running,Male,10.5,44,11.5,1.5,28.2
28.6,10.7,Running,Male,12.5,47,13.5,1.5,30.1
24.9,9.7,Running,Male,8,42,9,1.5,26.4
24.8,9.2,Running,Male,8,41,9,1.5,26.3
27,10.2,Running,Male,10.5,45,11.5,1.5,28.5
26.4,9.6,Running,Male,10,44,11,1.5,27.9
26.7,10.2,Running,Male,10.5,44,11.5,1.5,28.2
26.4,9.9,Running,Male,10,44,11,1.5,27.9
24.8,10.1,Running,Male,8,41,9,1.5,26.3
28.4,11.1,Running,Male,12.5,47,13.5,1.5,29.9
26.4,9.6,Running,Male,10,44,11,1.5,27.9
25.5,9.9,Running,Male,9,42,10,1.5,27
27.4,10,Running,Male,11,45,12,1.5,28.9
27.8,10,Running,Male,11.5,46,12.5,1.5,29.3
25.6,9.9,Running,Male,9,43,10,1.5,27.1
25.6,9.9,Running,Male,9,43,10,1.5,27.1
27.3,10.8,Running,Male,11,45,12,1.5,28.8
25.6,10.1,Running,Male,9,43,10,1.5,27.1
25.6,10,Running,Male,9,43,10,1.5,27.1
29.9,10.5,Running,Male,14,49,15,1.5,31.4
27.4,10.5,Running,Male,11,45,12,1.5,28.9
29.7,10.9,Running,Male,14,49,15,1.5,31.2
25.5,10.1,Running,Male,9,42,10,1.5,27
26,10.1,Running,Male,9.5,43,10.5,1.5,27.5
27.8,9.4,Running,Male,11.5,46,12.5,1.5,29.3
27.2,9.8,Running,Male,11,45,12,1.5,28.7
26,9.9,Running,Male,9.5,43,10.5,1.5,27.5
23.3,9.2,Running,Male,6.5,39,7.5,1.5,24.8
27.3,11.5,Running,Male,11,45,12,1.5,28.8
26.8,9.7,Running,Male,10.5,44,11.5,1.5,28.3
26.8,9.6,Running,Male,10.5,44,11.5,1.5,28.3
26.8,9.3,Running,Male,10.5,44,11.5,1.5,28.3
26.9,9.9,Running,Male,10.5,45,11.5,1.5,28.4
26.6,10.1,Running,Male,10,44,11,1.5,28.1
26.8,10.6,Running,Male,10.5,44,11.5,1.5,28.3
28.7,10.1,Running,Male,12.5,47,13.5,1.5,30.2
27.7,10.2,Running,Male,11.5,46,12.5,1.5,29.2
26.4,10.3,Running,Male,10,44,11,1.5,27.9
24.8,10.1,Running,Male,8,41,9,1.5,26.3
26.5,9.5,Running,Male,10,44,11,1.5,28
26.2,9.9,Running,Male,9.5,44,10.5,1.5,27.7
26.9,9.9,Running,Male,10.5,45,11.5,1.5,28.4
27.4,10.9,Running,Male,11,45,12,1.5,28.9
27.5,9.9,Running,Male,11.5,46,12.5,1.5,29
26.9,9.8,Running,Male,10.5,45,11.5,1.5,28.4
26,10.3,Running,Male,9.5,43,10.5,1.5,27.5
28.2,10.2,Running,Male,12,47,13,1.5,29.7
28,10.8,Running,Male,12,46,13,1.5,29.5
27.8,10.7,Running,Male,11.5,46,12.5,1.5,29.3
27,9.4,Running,Male,10.5,45,11.5,1.5,28.5
28.4,9.6,Running,Male,12.5,47,13.5,1.5,29.9
26.5,10,Running,Male,10,44,11,1.5,28
27.5,10.4,Running,Male,11.5,46,12.5,1.5,29
27.9,10.3,Running,Male,11.5,46,12.5,1.5,29.4
24.6,9.2,Running,Male,8,41,9,1.5,26.1
28.5,10.7,Running,Male,12.5,47,13.5,1.5,30
26.3,10.4,Running,Male,10,44,11,1.5,27.8
27.5,11,Running,Male,11.5,46,12.5,1.5,29
24.6,9.5,Running,Male,8,41,9,1.5,26.1
27.4,10.4,Running,Male,11,45,12,1.5,28.9
29.4,11.7,Running,Male,13.5,48,14.5,1.5,30.9
25.4,9.8,Running,Male,9,42,10,1.5,26.9
25.7,10.3,Running,Male,9,43,10,1.5,27.2
26.7,9.9,Running,Male,10.5,44,11.5,1.5,28.2
26.9,8.6,Running,Male,10.5,45,11.5,1.5,28.4
28.3,11,Running,Male,12,47,13,1.5,29.8
28.9,10.3,Running,Male,13,48,14,1.5,30.4
28.4,9.9,Running,Male,12.5,47,13.5,1.5,29.9
28,9.8,Running,Male,12,46,13,1.5,29.5
28.8,11.2,Running,Male,13,47,14,1.5,30.3
26.3,10,Running,Male,10,44,11,1.5,27.8
27.6,10.9,Running,Male,11.5,46,12.5,1.5,29.1
27.5,9.5,Running,Male,11.5,46,12.5,1.5,29
27,10.1,Running,Male,10.5,45,11.5,1.5,28.5
28.1,10.4,Running,Male,12,46,13,1.5,29.6
26.5,9.5,Running,Male,10,44,11,1.5,28
28.5,10.8,Running,Male,12.5,47,13.5,1.5,30
26,9.5,Running,Male,9.5,43,10.5,1.5,27.5
28.8,9.8,Running,Male,13,47,14,1.5,30.3
27.6,10.2,Running,Male,11.5,46,12.5,1.5,29.1
29.6,10.3,Running,Male,13.5,49,14.5,1.5,31.1
25.9,10.1,Running,Male,9.5,43,10.5,1.5,27.4
27.8,10.1,Running,Male,11.5,46,12.5,1.5,29.3
28.2,10,Running,Male,12,47,13,1.5,29.7
28.6,11,Running,Male,12.5,47,13.5,1.5,30.1
25.9,10.2,Running,Male,9.5,43,10.5,1.5,27.4
27.2,10.1,Running,Male,11,45,12,1.5,28.7
28.4,11.8,Running,Male,12.5,47,13.5,1.5,29.9
26.6,10.2,Running,Male,10,44,11,1.5,28.1
27.8,10.7,Running,Male,11.5,46,12.5,1.5,29.3
29,10.6,Running,Male,13,48,14,1.5,30.5
28.4,10.7,Running,Male,12.5,47,13.5,1.5,29.9
27.5,10.8,Running,Male,11.5,46,12.5,1.5,29
28.1,10.8,Running,Male,12,46,13,1.5,29.6
26.2,9.8,Running,Male,9.5,44,10.5,1.5,27.7
25.9,10.5,Running,Male,9.5,43,10.5,1.5,27.4
29.8,10.7,Running,Male,14,49,15,1.5,31.3
27.6,10.1,Running,Male,11.5,46,12.5,1.5,29.1
27,10.3,Running,Male,10.5,45,11.5,1.5,28.5
27.2,9.9,Running,Male,11,45,12,1.5,28.7
26,9.7,Running,Male,9.5,43,10.5,1.5,27.5
26.3,10.6,Running,Male,10,44,11,1.5,27.8
30,11.5,Running,Male,14,49,15,1.5,31.5
24.9,8.9,Running,Male,8,42,9,1.5,26.4
27.8,10.3,Running,Male,11.5,46,12.5,1.5,29.3
27.7,10.6,Running,Male,11.5,46,12.5,1.5,29.2
27.2,10,Running,Male,11,45,12,1.5,28.7
26.2,10,Running,Male,9.5,44,10.5,1.5,27.7
26.8,9.9,Running,Male,10.5,44,11.5,1.5,28.3
26.1,9.7,Running,Male,9.5,43,10.5,1.5,27.6
27.9,10.3,Running,Male,11.5,46,12.5,1.5,29.4
27,9.8,Running,Male,10.5,45,11.5,1.5,28.5
29.9,11,Running,Male,14,49,15,1.5,31.4
27.4,9.9,Running,Male,11,45,12,1.5,28.9
27.8,10.6,Running,Male,11.5,46,12.5,1.5,29.3
26,10.2,Running,Male,9.5,43,10.5,1.5,27.5
26,10.3,Running,Male,9.5,43,10.5,1.5,27.5
27.4,10.4,Running,Male,11,45,12,1.5,28.9
24.5,10.2,Running,Male,7.5,41,8.5,1.5,26
27.2,10.1,Running,Male,11,45,12,1.5,28.7
28.2,10.8,Running,Male,12,47,13,1.5,29.7
27.1,10,Running,Male,11,45,12,1.5,28.6
26.8,9.8,Running,Male,10.5,44,11.5,1.5,28.3
26.2,9.8,Running,Male,9.5,44,10.5,1.5,27.7
27.5,10.4,Running,Male,11.5,46,12.5,1.5,29
28.6,10,Running,Male,12.5,47,13.5,1.5,30.1
26.6,9.9,Running,Male,10,44,11,1.5,28.1
27.9,10.7,Running,Male,11.5,46,12.5,1.5,29.4
29.2,10.8,Running,Male,13.5,48,14.5,1.5,30.7
28,9.9,Running,Male,12,46,13,1.5,29.5
28.9,10.5,Running,Male,13,48,14,1.5,30.4
26.1,9.8,Running,Male,9.5,43,10.5,1.5,27.6
25.7,9.2,Running,Male,9,43,10,1.5,27.2
29.3,10.2,Running,Male,13.5,48,14.5,1.5,30.8
29.2,10.2,Running,Male,13.5,48,14.5,1.5,30.7
28.3,10.5,Running,Male,12,47,13,1.5,29.8
24.7,9.6,Running,Male,8,41,9,1.5,26.2
25.5,10.1,Running,Male,9,42,10,1.5,27
26.5,9.6,Running,Male,10,44,11,1.5,28
27.7,9.6,Running,Male,11.5,46,12.5,1.5,29.2
27.6,10.4,Running,Male,11.5,46,12.5,1.5,29.1
28.3,9.8,Running,Male,12,47,13,1.5,29.8
27.8,10.7,Running,Male,11.5,46,12.5,1.5,29.3
25.8,9.6,Running,Male,9,43,10,1.5,27.3
25.6,10.4,Running,Male,9,43,10,1.5,27.1
27.7,10.1,Running,Male,11.5,46,12.5,1.5,29.2
24,10,Running,Male,7,40,8,1.5,25.5
26.6,10.4,Running,Male,10,44,11,1.5,28.1
26.6,10,Running,Male,10,44,11,1.5,28.1
28.6,10.7,Running,Male,12.5,47,13.5,1.5,30.1
26.9,9.6,Running,Male,10.5,45,11.5,1.5,28.4
25.3,10,Running,Male,8.5,42,9.5,1.5,26.8
28.5,10,Running,Male,12.5,47,13.5,1.5,30
26,9.9,Running,Male,9.5,43,10.5,1.5,27.5
25.7,9.1,Running,Male,9,43,10,1.5,27.2
26.2,10.6,Running,Male,9.5,44,10.5,1.5,27.7
28.4,10,Running,Male,12.5,47,13.5,1.5,29.9
24.3,9,Running,Male,7.5,41,8.5,1.5,25.8
27.4,10.4,Running,Male,11,45,12,1.5,28.9
26.4,10,Running,Male,10,44,11,1.5,27.9
29.4,11,Running,Male,13.5,48,14.5,1.5,30.9
24.1,9.4,Running,Male,7,40,8,1.5,25.6
24.7,9.9,Running,Male,8,41,9,1.5,26.2
27.2,10,Running,Male,11,45,12,1.5,28.7
28.7,10.7,Running,Male,12.5,47,13.5,1.5,30.2
29.5,10.1,Running,Male,13.5,48,14.5,1.5,31
30,11.5,Running,Male,14,49,15,1.5,31.5
26.7,10,Running,Male,10.5,44,11.5,1.5,28.2
27.5,10,Running,Male,11.5,46,12.5,1.5,29
25.3,10,Running,Male,8.5,42,9.5,1.5,26.8
26.9,10.5,Running,Male,10.5,45,11.5,1.5,28.4
27.1,9.9,Running,Male,11,45,12,1.5,28.6
25.2,9.4,Running,Male,8.5,42,9.5,1.5,26.7
26.8,10.3,Running,Male,10.5,44,11.5,1.5,28.3
27.3,10.3,Running,Male,11,45,12,1.5,28.8
29,10.8,Running,Male,13,48,14,1.5,30.5
26.7,9,Running,Male,10.5,44,11.5,1.5,28.2
25.7,10.2,Running,Male,9,43,10,1.5,27.2
27.1,10.3,Running,Male,11,45,12,1.5,28.6
26.9,10,Running,Male,10.5,45,11.5,1.5,28.4
24.4,9.8,Running,Male,7.5,41,8.5,1.5,25.9
29.5,10,Running,Male,13.5,48,14.5,1.5,31
28.8,10.2,Running,Male,13,47,14,1.5,30.3
27.6,10.6,Running,Male,11.5,46,12.5,1.5,29.1
26.7,10.6,Running,Male,10.5,44,11.5,1.5,28.2
26.3,10.4,Running,Male,10,44,11,1.5,27.8
26.9,9.5,Running,Male,10.5,45,11.5,1.5,28.4
28.2,10.6,Running,Male,12,47,13,1.5,29.7
24.8,9.2,Running,Male,8,41,9,1.5,26.3
25.3,10,Running,Male,8.5,42,9.5,1.5,26.8
28,11,Running,Male,12,46,13,1.5,29.5
24.4,9.8,Running,Male,7.5,41,8.5,1.5,25.9
26.5,11.3,Running,Male,10,44,11,1.5,28
26.6,10.4,Running,Male,10,44,11,1.5,28.1
28.4,10.5,Running,Male,12.5,47,13.5,1.5,29.9
25.4,9.5,Running,Male,9,42,10,1.5,26.9
25.1,9.2,Running,Male,8.5,42,9.5,1.5,26.6
25.7,9.3,Running,Male,9,43,10,1.5,27.2
25.8,10.6,Running,Male,9,43,10,1.5,27.3
27.5,10.4,Running,Male,11.5,46,12.5,1.5,29
28.8,11.7,Running,Male,13,47,14,1.5,30.3
26.3,9.9,Running,Male,10,44,11,1.5,27.8
26.7,10,Running,Male,10.5,44,11.5,1.5,28.2
28.4,10.4,Running,Male,12.5,47,13.5,1.5,29.9
27.6,10.4,Running,Male,11.5,46,12.5,1.5,29.1
26.6,9.7,Running,Male,10,44,11,1.5,28.1
27.3,10.6,Running,Male,11,45,12,1.5,28.8
27.4,9,Running,Male,11,45,12,1.5,28.9
25.7,10,Running,Male,9,43,10,1.5,27.2
29.8,10.3,Running,Male,14,49,15,1.5,31.3
27.6,11,Running,Male,11.5,46,12.5,1.5,29.1
27.4,10.1,Running,Male,11,45,12,1.5,28.9
29.4,11.3,Running,Male,13.5,48,14.5,1.5,30.9
27.1,9.8,Running,Male,11,45,12,1.5,28.6
26.6,10.1,Running,Male,10,44,11,1.5,28.1
24.8,9.3,Running,Male,8,41,9,1.5,26.3
25.9,9.7,Running,Male,9.5,43,10.5,1.5,27.4
26.3,10,Running,Male,10,44,11,1.5,27.8
27.2,10.2,Running,Male,11,45,12,1.5,28.7
25.1,10.3,Running,Male,8.5,42,9.5,1.5,26.6
25.5,8.9,Running,Male,9,42,10,1.5,27
29.7,10.2,Running,Male,14,49,15,1.5,31.2
27.7,10.8,Running,Male,11.5,46,12.5,1.5,29.2
27.7,10.5,Running,Male,11.5,46,12.5,1.5,29.2
28.8,10.4,Running,Male,13,47,14,1.5,30.3
25.3,10.4,Running,Male,8.5,42,9.5,1.5,26.8
26.4,10.3,Running,Male,10,44,11,1.5,27.9
26.8,9.4,Running,Male,10.5,44,11.5,1.5,28.3
26.3,9.3,Running,Male,10,44,11,1.5,27.8
27.2,10.1,Running,Male,11,45,12,1.5,28.7
25.2,9.6,Running,Male,8.5,42,9.5,1.5,26.7
29.5,10.2,Running,Male,13.5,48,14.5,1.5,31
26.6,8.9,Running,Male,10,44,11,1.5,28.1
26.3,9.1,Running,Male,10,44,11,1.5,27.8
26.6,10.2,Running,Male,10,44,11,1.5,28.1
29.4,10.3,Running,Male,13.5,48,14.5,1.5,30.9
27,11.2,Running,Male,10.5,45,11.5,1.5,28.5
27,10.2,Running,Male,10.5,45,11.5,1.5,28.5
26.8,10.7,Running,Male,10.5,44,11.5,1.5,28.3
24.4,9.2,Running,Male,7.5,41,8.5,1.5,25.9
27.7,9.8,Running,Male,11.5,46,12.5,1.5,29.2
28.4,10.5,Running,Male,12.5,47,13.5,1.5,29.9
24.9,9.1,Running,Male,8,42,9,1.5,26.4
25,9.2,Running,Male,8.5,42,9.5,1.5,26.5
28.3,10.2,Running,Male,12,47,13,1.5,29.8
27.3,10.1,Running,Male,11,45,12,1.5,28.8
27.6,10,Running,Male,11.5,46,12.5,1.5,29.1
29.3,10.5,Running,Male,13.5,48,14.5,1.5,30.8
28.4,10,Running,Male,12.5,47,13.5,1.5,29.9
28.1,9.5,Running,Male,12,46,13,1.5,29.6
26.7,10.2,Running,Male,10.5,44,11.5,1.5,28.2
28.8,10.4,Running,Male,13,47,14,1.5,30.3
26.7,11.3,Running,Male,10.5,44,11.5,1.5,28.2
25.1,9,Running,Male,8.5,42,9.5,1.5,26.6
25.8,9.7,Running,Male,9,43,10,1.5,27.3
24.3,10,Running,Male,7.5,41,8.5,1.5,25.8
29.4,11.3,Running,Male,13.5,48,14.5,1.5,30.9
27.7,10.1,Running,Male,11.5,46,12.5,1.5,29.2
27.3,9.6,Running,Male,11,45,12,1.5,28.8
26.5,9.5,Running,Male,10,44,11,1.5,28
27.3,10.3,Running,Male,11,45,12,1.5,28.8
26.2,10,Running,Male,9.5,44,10.5,1.5,27.7
26.4,8.9,Running,Male,10,44,11,1.5,27.9
25.1,9.7,Running,Male,8.5,42,9.5,1.5,26.6
27.9,10.7,Running,Male,11.5,46,12.5,1.5,29.4
28.5,10.4,Running,Male,12.5,47,13.5,1.5,30
25.5,10.1,Running,Male,9,42,10,1.5,27
26.4,10.2,Running,Male,10,44,11,1.5,27.9
28.3,10.2,Running,Male,12,47,13,1.5,29.8
26.6,11.4,Running,Male,10,44,11,1.5,28.1
28,9.9,Running,Male,12,46,13,1.5,29.5
27.1,9.9,Running,Male,11,45,12,1.5,28.6
29.3,11,Running,Male,13.5,48,14.5,1.5,30.8
25,9.6,Running,Male,8.5,42,9.5,1.5,26.5
26.9,10.1,Running,Male,10.5,45,11.5,1.5,28.4
28.8,10.6,Running,Male,13,47,14,1.5,30.3
27.9,9.6,Running,Male,11.5,46,12.5,1.5,29.4
26.3,9.3,Running,Male,10,44,11,1.5,27.8
25.3,9.9,Running,Male,8.5,42,9.5,1.5,26.8
27.5,11.1,Running,Male,11.5,46,12.5,1.5,29
27.9,9.7,Running,Male,11.5,46,12.5,1.5,29.4
29.2,10.2,Running,Male,13.5,48,14.5,1.5,30.7
26.6,10.2,Running,Male,10,44,11,1.5,28.1
26.9,10.2,Running,Male,10.5,45,11.5,1.5,28.4
26.8,10,Running,Male,10.5,44,11.5,1.5,28.3
26.4,11.2,Running,Male,10,44,11,1.5,27.9
25.4,9.5,Running,Male,9,42,10,1.5,26.9
28.1,10.3,Running,Male,12,46,13,1.5,29.6
28.9,10.1,Running,Male,13,48,14,1.5,30.4
26.8,10.2,Running,Male,10.5,44,11.5,1.5,28.3
25.7,10.2,Running,Male,9,43,10,1.5,27.2
26.9,10.2,Running,Male,10.5,45,11.5,1.5,28.4
27.5,9.7,Running,Male,11.5,46,12.5,1.5,29
27.5,11,Running,Male,11.5,46,12.5,1.5,29
28.5,11.1,Running,Male,12.5,47,13.5,1.5,30
26.1,10.8,Running,Male,9.5,43,10.5,1.5,27.6
27.7,10.9,Running,Male,11.5,46,12.5,1.5,29.2
25.8,10.1,Running,Male,9,43,10,1.5,27.3
27.4,10.3,Running,Male,11,45,12,1.5,28.9
26.8,9.4,Running,Male,10.5,44,11.5,1.5,28.3
26.4,10,Running,Male,10,44,11,1.5,27.9
27.2,10.3,Running,Male,11,45,12,1.5,28.7
29.8,11,Running,Male,14,49,15,1.5,31.3
24.4,9.2,Running,Male,7.5,41,8.5,1.5,25.9
25.1,8.6,Running,Male,8.5,42,9.5,1.5,26.6
27.1,10.1,Running,Male,11,45,12,1.5,28.6
26.1,9.6,Running,Male,9.5,43,10.5,1.5,27.6
27.2,10.2,Running,Male,11,45,12,1.5,28.7
27.6,10.9,Running,Male,11.5,46,12.5,1.5,29.1
25.7,9.8,Running,Male,9,43,10,1.5,27.2
29.5,10.8,Running,Male,13.5,48,14.5,1.5,31
29.1,10.4,Running,Male,13,48,14,1.5,30.6
27.5,11,Running,Male,11.5,46,12.5,1.5,29
26.8,10,Running,Male,10.5,44,11.5,1.5,28.3
28.1,11.5,Running,Male,12,46,13,1.5,29.6
28,9.9,Running,Male,12,46,13,1.5,29.5
28.9,10,Running,Male,13,48,14,1.5,30.4
25.2,10,Running,Male,8.5,42,9.5,1.5,26.7
27,10.5,Running,Male,10.5,45,11.5,1.5,28.5
25.6,10,Running,Male,9,43,10,1.5,27.1
28.3,10.9,Running,Male,12,47,13,1.5,29.8
29,10.4,Running,Male,13,48,14,1.5,30.5
29.8,11,Running,Male,14,49,15,1.5,31.3
26.4,10.6,Running,Male,10,44,11,1.5,27.9
25.3,9.4,Running,Male,8.5,42,9.5,1.5,26.8
27.9,9.9,Running,Male,11.5,46,12.5,1.5,29.4
27.4,10.1,Running,Male,11,45,12,1.5,28.9
29.1,10.6,Running,Male,13,48,14,1.5,30.6
25.9,10.2,Running,Male,9.5,43,10.5,1.5,27.4
26.9,11,Running,Male,10.5,45,11.5,1.5,28.4
25.8,9,Running,Male,9,43,10,1.5,27.3
25,10,Running,Male,8.5,42,9.5,1.5,26.5
25.1,9.9,Running,Male,8.5,42,9.5,1.5,26.6
26.4,10,Running,Male,10,44,11,1.5,27.9
27.8,10.1,Running,Male,11.5,46,12.5,1.5,29.3
27,10.6,Running,Male,10.5,45,11.5,1.5,28.5
28.6,10.9,Running,Male,12.5,47,13.5,1.5,30.1
27.2,9.7,Running,Male,11,45,12,1.5,28.7
25,9.7,Running,Male,8.5,42,9.5,1.5,26.5
26.8,9.7,Running,Male,10.5,44,11.5,1.5,28.3
26.6,9.7,Running,Male,10,44,11,1.5,28.1
26.7,10,Running,Male,10.5,44,11.5,1.5,28.2
28.1,9.9,Running,Male,12,46,13,1.5,29.6
25.3,10.2,Running,Male,8.5,42,9.5,1.5,26.8
27.1,10,Running,Male,11,45,12,1.5,28.6
25,9.2,Running,Male,8.5,42,9.5,1.5,26.5
24.7,9.5,Running,Male,8,41,9,1.5,26.2
27,10,Running,Male,10.5,45,11.5,1.5,28.5
28.8,10.5,Running,Male,13,47,14,1.5,30.3
26.3,9.9,Running,Male,10,44,11,1.5,27.8
28.1,10.8,Running,Male,12,46,13,1.5,29.6
27.5,10.3,Running,Male,11.5,46,12.5,1.5,29
26.7,9.9,Running,Male,10.5,44,11.5,1.5,28.2
27.4,10.5,Running,Male,11,45,12,1.5,28.9
29.4,10.1,Running,Male,13.5,48,14.5,1.5,30.9
29.3,10.6,Running,Male,13.5,48,14.5,1.5,30.8
24.4,9.3,Running,Male,7.5,41,8.5,1.5,25.9
27.4,9.8,Running,Male,11,45,12,1.5,28.9
28.1,11.1,Running,Male,12,46,13,1.5,29.6
27.4,10.7,Running,Male,11,45,12,1.5,28.9
27,9.2,Running,Male,10.5,45,11.5,1.5,28.5
26.5,10.3,Running,Male,10,44,11,1.5,28
26.8,10.1,Running,Male,10.5,44,11.5,1.5,28.3
28.4,10.2,Running,Male,12.5,47,13.5,1.5,29.9
24.4,9.5,Running,Male,7.5,41,8.5,1.5,25.9
27.9,9.9,Running,Male,11.5,46,12.5,1.5,29.4
26.4,9.5,Running,Male,10,44,11,1.5,27.9
27.3,9.4,Running,Male,11,45,12,1.5,28.8
26.2,9.9,Running,Male,9.5,44,10.5,1.5,27.7
25.3,9.5,Running,Male,8.5,42,9.5,1.5,26.8
26.7,10.2,Running,Male,10.5,44,11.5,1.5,28.2
25.4,9.8,Running,Male,9,42,10,1.5,26.9
28.2,10.3,Running,Male,12,47,13,1.5,29.7
25.6,9.5,Running,Male,9,43,10,1.5,27.1
26.6,10.1,Running,Male,10,44,11,1.5,28.1
26.9,10.3,Running,Male,10.5,45,11.5,1.5,28.4
26.6,10,Running,Male,10,44,11,1.5,28.1
28.4,9.8,Running,Male,12.5,47,13.5,1.5,29.9
29.2,10.5,Running,Male,13.5,48,14.5,1.5,30.7
29.9,10.8,Running,Male,14,49,15,1.5,31.4
28.2,10.5,Running,Male,12,47,13,1.5,29.7
26.6,10.4,Running,Male,10,44,11,1.5,28.1
27.5,10.7,Running,Male,11.5,46,12.5,1.5,29
27.6,9.9,Running,Male,11.5,46,12.5,1.5,29.1
27.2,10.1,Running,Male,11,45,12,1.5,28.7
25.9,9.6,Running,Male,9.5,43,10.5,1.5,27.4
28.4,10.9,Running,Male,12.5,47,13.5,1.5,29.9
28.9,11.3,Running,Male,13,48,14,1.5,30.4
27.2,10.4,Running,Male,11,45,12,1.5,28.7
29.7,11.7,Running,Male,14,49,15,1.5,31.2
26.5,9.8,Running,Male,10,44,11,1.5,28
29,11.5,Running,Male,13,48,14,1.5,30.5
27.4,9.9,Running,Male,11,45,12,1.5,28.9
27.4,10,Running,Male,11,45,12,1.5,28.9
28.1,9.5,Running,Male,12,46,13,1.5,29.6
27.5,10.1,Running,Male,11.5,46,12.5,1.5,29
28.3,10.1,Running,Male,12,47,13,1.5,29.8
26.4,10.6,Running,Male,10,44,11,1.5,27.9
28.5,9.7,Running,Male,12.5,47,13.5,1.5,30
23.2,9.8,Running,Male,6,39,7,1.5,24.7
28.5,10.4,Running,Male,12.5,47,13.5,1.5,30
28.5,10.6,Running,Male,12.5,47,13.5,1.5,30
25.4,9.9,Running,Male,9,42,10,1.5,26.9
27,9.3,Running,Male,10.5,45,11.5,1.5,28.5
28.6,10.2,Running,Male,12.5,47,13.5,1.5,30.1
26.4,9.9,Running,Male,10,44,11,1.5,27.9
28.7,10.5,Running,Male,12.5,47,13.5,1.5,30.2
27.4,9.8,Running,Male,11,45,12,1.5,28.9
27.4,10.4,Running,Male,11,45,12,1.5,28.9
27.8,10,Running,Male,11.5,46,12.5,1.5,29.3
26.4,9.9,Running,Male,10,44,11,1.5,27.9
28.9,9.9,Running,Male,13,48,14,1.5,30.4
28,11.1,Running,Male,12,46,13,1.5,29.5
26.6,10.1,Running,Male,10,44,11,1.5,28.1
26.6,10.4,Running,Male,10,44,11,1.5,28.1
26.9,10.6,Running,Male,10.5,45,11.5,1.5,28.4
26.5,9.7,Running,Male,10,44,11,1.5,28
